X,CH1,CH2
Second,Volt,Volt
-1.3088001e-03,3.04000e-01,-2.24000e-02
-1.3084001e-03,3.28000e-01,8.80000e-03
-1.3080001e-03,3.04000e-01,-1.12000e-02
-1.3076001e-03,3.28000e-01,8.00000e-04
-1.3072001e-03,3.04000e-01,-1.12000e-02
-1.3068001e-03,3.28000e-01,2.40000e-03
-1.3064001e-03,2.96000e-01,-1.36000e-02
-1.3060000e-03,3.12000e-01,6.40000e-03
-1.3056000e-03,2.88000e-01,-1.68000e-02
-1.3052000e-03,3.04000e-01,6.40000e-03
-1.3048000e-03,2.80000e-01,-2.16000e-02
-1.3044000e-03,2.96000e-01,1.12000e-02
-1.3040000e-03,2.72000e-01,-2.08000e-02
-1.3036000e-03,2.96000e-01,8.00000e-03
-1.3032000e-03,2.72000e-01,-1.92000e-02
-1.3028000e-03,3.04000e-01,8.80000e-03
-1.3024000e-03,2.80000e-01,-1.76000e-02
-1.3020000e-03,3.04000e-01,5.60000e-03
-1.3016000e-03,2.88000e-01,-1.68000e-02
-1.3012000e-03,3.04000e-01,7.20000e-03
-1.3008000e-03,2.80000e-01,-1.76000e-02
-1.3004000e-03,3.04000e-01,6.40000e-03
-1.3000000e-03,2.72000e-01,-1.76000e-02
-1.2996000e-03,2.88000e-01,2.40000e-03
-1.2992000e-03,2.64000e-01,-1.44000e-02
-1.2988000e-03,2.88000e-01,-8.00000e-04
-1.2984000e-03,2.56000e-01,-1.84000e-02
-1.2980000e-03,2.72000e-01,8.80000e-03
-1.2976000e-03,2.48000e-01,-1.84000e-02
-1.2972000e-03,2.64000e-01,2.40000e-03
-1.2968000e-03,2.40000e-01,-1.44000e-02
-1.2964000e-03,2.56000e-01,6.40000e-03
-1.2960000e-03,2.32000e-01,-2.00000e-02
-1.2956000e-03,2.56000e-01,1.04000e-02
-1.2952000e-03,2.32000e-01,-1.52000e-02
-1.2948000e-03,2.48000e-01,8.00000e-03
-1.2944000e-03,2.32000e-01,-2.16000e-02
-1.2940001e-03,2.56000e-01,1.20000e-02
-1.2936001e-03,2.32000e-01,-2.32000e-02
-1.2932001e-03,2.56000e-01,1.36000e-02
-1.2928001e-03,2.32000e-01,-2.32000e-02
-1.2924001e-03,2.64000e-01,1.44000e-02
-1.2920001e-03,2.48000e-01,-2.48000e-02
-1.2916001e-03,2.72000e-01,1.04000e-02
-1.2912001e-03,2.56000e-01,-1.68000e-02
-1.2908000e-03,2.88000e-01,1.20000e-02
-1.2904000e-03,2.64000e-01,-2.16000e-02
-1.2900000e-03,2.88000e-01,7.20000e-03
-1.2896000e-03,2.64000e-01,-1.68000e-02
-1.2892000e-03,2.96000e-01,6.40000e-03
-1.2888000e-03,2.72000e-01,-1.68000e-02
-1.2884000e-03,2.88000e-01,4.80000e-03
-1.2880000e-03,2.72000e-01,-1.12000e-02
-1.2876000e-03,2.88000e-01,8.80000e-03
